Date,Revenue,NetIncome,TotalAssets,TotalLiabilities,OperatingCashFlow,CapitalExpenditures
2023-07-01,,,,,,
2023-07-02,,,,,,
2023-07-03,,,,,,
2023-07-04,,,,,,
2023-07-05,,,,,,
2023-07-06,,,,,,
2023-07-07,,,,,,
2023-07-08,,,,,,
2023-07-09,,,,,,
2023-07-10,,,,,,
2023-07-11,,,,,,
2023-07-12,,,,,,
2023-07-13,,,,,,
2023-07-14,,,,,,
2023-07-15,,,,,,
2023-07-16,,,,,,
2023-07-17,,,,,,
2023-07-18,,,,,,
2023-07-19,,,,,,
2023-07-20,,,,,,
2023-07-21,,,,,,
2023-07-22,,,,,,
2023-07-23,,,,,,
2023-07-24,,,,,,
2023-07-25,,,,,,
2023-07-26,,,,,,
2023-07-27,,,,,,
2023-07-28,,,,,,
2023-07-29,,,,,,
2023-07-30,,,,,,
2023-07-31,,,,,,
2023-08-01,,,,,,
2023-08-02,,,,,,
2023-08-03,,,,,,
2023-08-04,,,,,,
2023-08-05,,,,,,
2023-08-06,,,,,,
2023-08-07,,,,,,
2023-08-08,,,,,,
2023-08-09,,,,,,
2023-08-10,,,,,,
2023-08-11,,,,,,
2023-08-12,,,,,,
2023-08-13,,,,,,
2023-08-14,,,,,,
2023-08-15,,,,,,
2023-08-16,,,,,,
2023-08-17,,,,,,
2023-08-18,,,,,,
2023-08-19,,,,,,
2023-08-20,,,,,,
2023-08-21,,,,,,
2023-08-22,,,,,,
2023-08-23,,,,,,
2023-08-24,,,,,,
2023-08-25,,,,,,
2023-08-26,,,,,,
2023-08-27,,,,,,
2023-08-28,,,,,,
2023-08-29,,,,,,
2023-08-30,,,,,,
2023-08-31,,,,,,
2023-09-01,,,,,,
2023-09-02,,,,,,
2023-09-03,,,,,,
2023-09-04,,,,,,
2023-09-05,,,,,,
2023-09-06,,,,,,
2023-09-07,,,,,,
2023-09-08,,,,,,
2023-09-09,,,,,,
2023-09-10,,,,,,
2023-09-11,,,,,,
2023-09-12,,,,,,
2023-09-13,,,,,,
2023-09-14,,,,,,
2023-09-15,,,,,,
2023-09-16,,,,,,
2023-09-17,,,,,,
2023-09-18,,,,,,
2023-09-19,,,,,,
2023-09-20,,,,,,
2023-09-21,,,,,,
2023-09-22,,,,,,
2023-09-23,,,,,,
2023-09-24,,,,,,
2023-09-25,,,,,,
2023-09-26,,,,,,
2023-09-27,,,,,,
2023-09-28,,,,,,
2023-09-29,,,,,,
2023-09-30,,,,,,
2023-10-01,12031000000.0,1517000000.0,1193693000000.0,,,
2023-10-02,12031000000.0,1517000000.0,1193693000000.0,,,
2023-10-03,12031000000.0,1517000000.0,1193693000000.0,,,
2023-10-04,12031000000.0,1517000000.0,1193693000000.0,,,
2023-10-05,12031000000.0,1517000000.0,1193693000000.0,,,
2023-10-06,12031000000.0,1517000000.0,1193693000000.0,,,
2023-10-07,12031000000.0,1517000000.0,1193693000000.0,,,
2023-10-08,12031000000.0,1517000000.0,1193693000000.0,,,
2023-10-09,12031000000.0,1517000000.0,1193693000000.0,,,
2023-10-10,12031000000.0,1517000000.0,1193693000000.0,,,
2023-10-11,12031000000.0,1517000000.0,1193693000000.0,,,
2023-10-12,12031000000.0,1517000000.0,1193693000000.0,,,
2023-10-13,12031000000.0,1517000000.0,1193693000000.0,,,
2023-10-14,12031000000.0,1517000000.0,1193693000000.0,,,
2023-10-15,12031000000.0,1517000000.0,1193693000000.0,,,
2023-10-16,12031000000.0,1517000000.0,1193693000000.0,,,
2023-10-17,12031000000.0,1517000000.0,1193693000000.0,,,
2023-10-18,12031000000.0,1517000000.0,1193693000000.0,,,
2023-10-19,12031000000.0,1517000000.0,1193693000000.0,,,
2023-10-20,12031000000.0,1517000000.0,1193693000000.0,,,
2023-10-21,12031000000.0,1517000000.0,1193693000000.0,,,
2023-10-22,12031000000.0,1517000000.0,1193693000000.0,,,
2023-10-23,12031000000.0,1517000000.0,1193693000000.0,,,
2023-10-24,12031000000.0,1517000000.0,1193693000000.0,,,
2023-10-25,12031000000.0,1517000000.0,1193693000000.0,,,
2023-10-26,12031000000.0,1517000000.0,1193693000000.0,,,
2023-10-27,12031000000.0,1517000000.0,1193693000000.0,,,
2023-10-28,12031000000.0,1517000000.0,1193693000000.0,,,
2023-10-29,12031000000.0,1517000000.0,1193693000000.0,,,
2023-10-30,12031000000.0,1517000000.0,1193693000000.0,,,
2023-10-31,12031000000.0,1517000000.0,1193693000000.0,,,
2023-11-01,12031000000.0,1517000000.0,1193693000000.0,,,
2023-11-02,12031000000.0,1517000000.0,1193693000000.0,,,
2023-11-03,12031000000.0,1517000000.0,1193693000000.0,,,
2023-11-04,12031000000.0,1517000000.0,1193693000000.0,,,
